uuid,key,hash_code,version,ts,ts_raw,DayOfWeek,HourOfDay,WorkingDay,App_Value,Audio_Music,Audio_Headphones,Batt_Value,BattDrain_Value,CellTower_Data,CellTower_Roaming,CellTower_Type,CellTower_Id,CellTower_LAC,CellTower_GSMSigStr,Charging_Value,Light_Value,Loc_Acc,Loc_Type,Noise_Value,Notif_App,NotifCenter_Value,Prox_Value,ScrOrient_Value,Screen_Value,UserAct_Type,UserAct_p,Wifi_Conn,Wifi_NetID,Wifi_BSSID,Wifi_SSID,Wifi_IP,Wifi_RSSI,Wifi_Speed,timeSinceLastScreenUnlocked,timeSinceScreenChanged,timeSinceLastMessageSession,timeSinceLastCallPickup,lastForegroundAppCategory,timeSinceLastIncomingCall,timeSinceLastOpenApp,timeSinceLastCallMade,timeSinceLastCommApp,Temperature,Weather,Calendar_Event,Event_Name,Event_Start,Event_End,Event_Duration,Event_TimeLeft,Event_Location,Is_Silent,Background_Amp,Background_Convo,On_Call,DoNot_Disturb,Ringer_Mode,Is_Launcher,Predicted_Availability,AR Enabled,Sent AR,Responses,Attend_time,Appropriate,Useful,Granularity,Explanation_Correctness,Comfortable,Better_Responses,Reason,Shap
u21,0|com.samsung.android.messaging|123|com.samsung.android.messaging:msg:116|10041,-289801854,0.7.2,Fri Jun 26 20:17:06 EDT 2020,1593217026113,4,20,1,com.android.chrome,0.0,0.0,83,1.0,0,0.0,GSM,199801097,21766,85,0.0,1,14.283,Home,49.0962,com.samsung.android.messaging,4,0.0,Portrait,Unlocked,still,100.0,1.0,103.0,b8:f8:53:3d:ce:83,"""paradiso""",192.168.1.153,-56,390,240723,240723,1776312.0,,Communication,,208443.0,,208443.0,25.9,Clouds: few clouds,0.0,,,,,,,1.0,33,noise,0.0,all,VIBRATE,0.0,1.0,1,top_feature:Bob’s phone is in an area with low-light and he may not be available to respond.,top_feature:Bob’s phone is in an area with low-light and he may not be available to respond.;multi_feature:Bob may not be available to respond. His phone is in an area with low-light and is on vibrate mode and he has not been using his phone for a while.;cluster_feature:Bob may not be available to respond. His phone is in an area with low-light and he has not been using his phone for a while.;simple:Bob may not be available to respond at this time.;random:Bob has not been using his phone for a while and he may not be available to respond.,1593217029848.0,,,,,,,sent,
u21,0|com.whatsapp|1|E+R6a4w8ho57GQWqvagY4f31SjHHFDSh8hv52ZDuRUE=|10160,1880635003,0.7.2,Fri Jun 26 20:19:32 EDT 2020,1593217172238,4,20,1,com.google.android.gm,0.0,0.0,83,1.0,0,0.0,GSM,199801097,21766,85,0.0,3,14.283,Home,49.0962,com.whatsapp,5,0.0,Portrait,Unlocked,still,100.0,1.0,103.0,b8:f8:53:3d:ce:83,"""paradiso""",192.168.1.153,-53,292,386848,386848,146125.0,,Communication,,19319.0,,19319.0,25.9,Clouds: few clouds,0.0,,,,,,,1.0,47,noise,0.0,all,VIBRATE,0.0,1.0,1,multi_feature:Bob may not be available to respond. His phone is in an area with low-light and he has not been using his phone for a while and was last using a Communication app on his phone.,top_feature:Bob’s phone is in an area with low-light and he may not be available to respond.;multi_feature:Bob may not be available to respond. His phone is in an area with low-light and he has not been using his phone for a while and was last using a Communication app on his phone.;cluster_feature:Bob may not be available to respond. His phone is in an area with low-light and he has not been using his phone for a while.;simple:Bob may not be available to respond at this time.;random:Bob has not been checking his notifications and he may not be available to respond.,1593217175409.0,,,,,,,,
u21,0|com.whatsapp|1|E+R6a4w8ho57GQWqvagY4f31SjHHFDSh8hv52ZDuRUE=|10160,519321831,0.7.2,Fri Jun 26 20:22:32 EDT 2020,1593217352709,4,20,1,com.google.android.gm,0.0,0.0,82,2.0,0,0.0,GSM,199801097,21766,85,0.0,3,14.283,Home,47.4182,com.whatsapp,5,0.0,Portrait,Unlocked,still,100.0,1.0,103.0,b8:f8:53:3d:ce:83,"""paradiso""",192.168.1.153,-64,325,567319,567319,180471.0,,Communication,,71623.0,,71623.0,25.9,Clouds: few clouds,0.0,,,,,,,1.0,38,noise,0.0,all,VIBRATE,0.0,1.0,1,simple:Bob may not be available to respond at this time.,top_feature:Bob’s phone is in an area with low-light and he may not be available to respond.;multi_feature:Bob may not be available to respond. His phone is in an area with low-light and he has not been using his phone for a while and was last using a Communication app on his phone.;cluster_feature:Bob may not be available to respond. His phone is in an area with low-light and he has not been using his phone for a while.;simple:Bob may not be available to respond at this time.;random:Bob has not been checking his notifications and he may not be available to respond.,1593217353095.0,,,,,,,,
u21,0|com.whatsapp|1|E+R6a4w8ho57GQWqvagY4f31SjHHFDSh8hv52ZDuRUE=|10160,905474537,0.7.2,Fri Jun 26 20:24:37 EDT 2020,1593217477264,4,20,1,com.google.android.gm,0.0,0.0,81,2.0,0,0.0,GSM,199801097,21766,85,0.0,3,14.283,Home,47.4182,com.whatsapp,6,0.0,Portrait,Unlocked,still,100.0,1.0,103.0,b8:f8:53:3d:ce:83,"""paradiso""",192.168.1.153,-60,325,691874,691874,124555.0,,Communication,,98945.0,,98945.0,25.9,Clouds: few clouds,0.0,,,,,,,1.0,35,noise,0.0,all,VIBRATE,0.0,1.0,1,random:Bob’s phone is on vibrate mode and he may not be available to respond.,top_feature:Bob’s phone is in an area with low-light and he may not be available to respond.;multi_feature:Bob may not be available to respond. His phone is in an area with low-light and he has not been using his phone for a while and was last using a Communication app on his phone.;cluster_feature:Bob may not be available to respond. His phone is in an area with low-light and he has not been using his phone for a while.;simple:Bob may not be available to respond at this time.;random:Bob’s phone is on vibrate mode and he may not be available to respond.,1593217485954.0,,,,,,,,
u21,0|com.whatsapp|1|E+R6a4w8ho57GQWqvagY4f31SjHHFDSh8hv52ZDuRUE=|10160,274108324,0.7.2,Fri Jun 26 20:24:45 EDT 2020,1593217485165,4,20,1,com.sec.android.app.launcher,0.0,0.0,81,2.0,0,0.0,GSM,199801097,21766,85,0.0,3,14.283,Home,47.4182,com.whatsapp,7,0.0,Portrait,Unlocked,still,100.0,1.0,103.0,b8:f8:53:3d:ce:83,"""paradiso""",192.168.1.153,-61,325,699775,699775,7901.0,,Personalization,,2119.0,,106846.0,25.9,Clouds: few clouds,0.0,,,,,,,1.0,35,noise,0.0,all,VIBRATE,1.0,1.0,1,multi_feature:Bob may not be available to respond. His phone is in an area with low-light and is on vibrate mode and he has not been using his phone for a while.,top_feature:Bob’s phone is in an area with low-light and he may not be available to respond.;multi_feature:Bob may not be available to respond. His phone is in an area with low-light and is on vibrate mode and he has not been using his phone for a while.;cluster_feature:Bob may not be available to respond. His phone is in an area with low-light and he has not been using his phone for a while.;simple:Bob may not be available to respond at this time.;random:Bob has not been using his phone for a while and he may not be available to respond.,1593217485954.0,,,,,,,,
u21,0|com.whatsapp|1|E+R6a4w8ho57GQWqvagY4f31SjHHFDSh8hv52ZDuRUE=|10160,-65791187,0.7.2,Fri Jun 26 20:25:54 EDT 2020,1593217554367,4,20,1,com.google.android.gm,0.0,0.0,80,3.0,0,0.0,GSM,199801097,21766,85,0.0,3,14.283,Home,47.4182,com.whatsapp,9,0.0,Portrait,Unlocked,still,100.0,1.0,103.0,b8:f8:53:3d:ce:83,"""paradiso""",192.168.1.153,-58,325,768977,768977,69202.0,,Communication,,27127.0,,27127.0,25.9,Clouds: few clouds,0.0,,,,,,,1.0,35,noise,0.0,all,VIBRATE,0.0,1.0,1,top_feature:Bob’s phone is in an area with low-light and he may not be available to respond.,top_feature:Bob’s phone is in an area with low-light and he may not be available to respond.;multi_feature:Bob may not be available to respond. His phone is in an area with low-light and he has not been using his phone for a while and was last using a Communication app on his phone.;cluster_feature:Bob may not be available to respond. His phone is in an area with low-light and he has not been using his phone for a while.;simple:Bob may not be available to respond at this time.;random:Bob has not been using his phone for a while and he may not be available to respond.,1593217562103.0,,,,,,,,
u21,0|com.whatsapp|1|E+R6a4w8ho57GQWqvagY4f31SjHHFDSh8hv52ZDuRUE=|10160,-835019996,0.7.2,Fri Jun 26 20:30:00 EDT 2020,1593217800445,4,20,1,com.sec.android.app.launcher,0.0,0.0,80,1.0,0,0.0,GSM,199801097,21766,85,0.0,3,14.283,Home,50.0932,com.whatsapp,10,0.0,Portrait,Locked,still,100.0,1.0,103.0,b8:f8:53:3d:ce:83,"""paradiso""",192.168.1.153,-58,325,1015055,125128,246078.0,,Personalization,,128851.0,,131864.0,25.9,Clouds: few clouds,0.0,,,,,,,0.0,40,noise,0.0,all,VIBRATE,1.0,1.0,1,cluster_feature:Bob may not be available to respond. His phone is in an area with low-light and he has not been using his phone for a while.,top_feature:Bob’s phone is in an area with low-light and he may not be available to respond.;multi_feature:Bob may not be available to respond. His phone is in an area with low-light and is on vibrate mode and he has not been using his phone for a while.;cluster_feature:Bob may not be available to respond. His phone is in an area with low-light and he has not been using his phone for a while.;simple:Bob may not be available to respond at this time.;random:Bob has not been using his phone for a while and he may not be available to respond.,1593217999827.0,,,,,,,,
u21,0|com.whatsapp|1|E+R6a4w8ho57GQWqvagY4f31SjHHFDSh8hv52ZDuRUE=|10160,2142359798,0.7.2,Fri Jun 26 20:30:11 EDT 2020,1593217811607,4,20,1,com.sec.android.app.launcher,0.0,0.0,80,1.0,0,0.0,GSM,199801097,21766,85,0.0,3,14.283,Home,50.0932,com.whatsapp,11,0.0,Portrait,Locked,still,100.0,1.0,103.0,b8:f8:53:3d:ce:83,"""paradiso""",192.168.1.153,-58,325,1026217,136290,11162.0,,Personalization,,140013.0,,143026.0,25.9,Clouds: few clouds,0.0,,,,,,,0.0,40,noise,0.0,all,VIBRATE,1.0,1.0,1,top_feature:Bob’s phone is in an area with low-light and he may not be available to respond.,top_feature:Bob’s phone is in an area with low-light and he may not be available to respond.;multi_feature:Bob may not be available to respond. His phone is in an area with low-light and is on vibrate mode and he has not been using his phone for a while.;cluster_feature:Bob may not be available to respond. His phone is in an area with low-light and he has not been using his phone for a while.;simple:Bob may not be available to respond at this time.;random:Bob has not been using his phone for a while and he may not be available to respond.,1593217999827.0,,,,,,,,
u21,0|com.whatsapp|1|E+R6a4w8ho57GQWqvagY4f31SjHHFDSh8hv52ZDuRUE=|10160,-1338278844,0.7.2,Fri Jun 26 20:31:44 EDT 2020,1593217904066,4,20,1,com.sec.android.app.launcher,0.0,0.0,79,2.0,0,0.0,GSM,199801097,21766,85,0.0,3,14.283,Home,46.1148,com.whatsapp,12,0.0,Portrait,Locked,still,100.0,1.0,103.0,b8:f8:53:3d:ce:83,"""paradiso""",192.168.1.153,-58,325,1118676,228749,92459.0,,Personalization,,232472.0,,235485.0,25.9,Clouds: few clouds,0.0,,,,,,,1.0,45,noise,0.0,all,VIBRATE,1.0,1.0,1,simple:Bob may not be available to respond at this time.,top_feature:Bob’s phone is in an area with low-light and he may not be available to respond.;multi_feature:Bob may not be available to respond. His phone is in an area with low-light and is on vibrate mode and he has not been using his phone for a while.;cluster_feature:Bob may not be available to respond. His phone is in an area with low-light and he has not been using his phone for a while.;simple:Bob may not be available to respond at this time.;random:Bob’s phone is on vibrate mode and he may not be available to respond.,1593217999827.0,,,,,,,,
u21,0|com.whatsapp|1|E+R6a4w8ho57GQWqvagY4f31SjHHFDSh8hv52ZDuRUE=|10160,318190139,0.7.3,Fri Jun 26 21:01:14 EDT 2020,1593219674065,4,21,1,com.sec.android.app.launcher,0.0,0.0,73,1.0,0,0.0,GSM,199801097,21766,85,0.0,3,19.779,Home,40.3389,com.whatsapp,5,0.0,Portrait,Unlocked,still,100.0,1.0,103.0,b8:f8:53:3d:ce:83,"""paradiso""",192.168.1.153,-55,390,4595,4595,,,Personalization,,6528.0,,484356.0,25.16,Clouds: scattered clouds,0.0,,,,,,,1.0,4944,voice,0.0,all,VIBRATE,1.0,1.0,1,cluster_feature:Bob may not be available to respond. His phone is in an area with low-light and he has not been checking his notifications.,top_feature:Bob’s phone is in an area with low-light and he may not be available to respond.;multi_feature:Bob may not be available to respond. His phone is in an area with low-light and is on vibrate mode and he has not been checking his notifications.;cluster_feature:Bob may not be available to respond. His phone is in an area with low-light and he has not been checking his notifications.;simple:Bob may not be available to respond at this time.;random:Bob’s phone is on vibrate mode and he may not be available to respond.,1593219693144.0,,,,,,,,
